Tanggal,Username,Tweet
"
2021-04-25 12:24:21",Radhee08,"@Herlin_673YP @angedespoir5 Kemarin habis Vaksin, ngantuk banget, nongkrong dipoin square duduk sambil merem 🤣🤣"

"
2021-04-25 12:24:11",aishahlatif_,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:24:01",sufihazimm,"RT @The_Endie: Betul la tu, masa MCO 1.0, ramai takleh kerja, takleh berniaga. Dia syorkan kerajaan beri RM1K sebulan selama 3 bulan kpd B4…"

"
2021-04-25 12:23:59",ah_il_sum,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:23:44",_zzinn,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:23:40",aisyahhh_j,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:23:26",_nrlizzhs,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:23:25",ZulaikhaSofea_,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:23:21",nadhirah_azreen,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:23:16",waniee_wawa,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:22:59",BlackeChyR1S,"RT @IndonesiaBaikId: Hai SohIB! Sebenarnya perlu tidak ya #TesCOVID19 sebelum #Vaksinasi? 

#IndonesiaBaik #YangMudaSukaData #Infografis #E…"

"
2021-04-25 12:22:57",Ainajihah97,Mak aku tanya aku yakin ke nak ambik vaksin. Why my mom like this.

"
2021-04-25 12:22:51",MaisarraAnuar,"@KartunisGandum Harap kastam check dia betul2, takut dia bawak balik vaksin utk kaum kerabat dia pulak."

"
2021-04-25 12:22:47",Velu10654537,"RT @IwanXtreme: @mkini_bm Kalau Saya mampu....

1st -family dulu, mak dah 74thn, tnggu vaksin x dngr pa khabar lg, kena GI Arab beli sendir…"

"
2021-04-25 12:22:44",Johnnie13989717,"@alisyarief Jenis vaksin pun berubah ubah tidak jelas apa yg harus di gunakan, sekarang harus standar dan ijin WHO… https://t.co/vlWCX2Yj9l"

"
2021-04-25 12:22:37",marSyaheedAS,"RT @rokandt: ""Beberapa departemen kesehatan daerah (di Amerika Serikat) yg tidak dapat memenuhi permintaan vaksin sebulan yg lalu kini mula…"

"
2021-04-25 12:22:26",FaizzHmdn,"Dah tahu taknak tutup sekolah, vaksin la cikgu dulu. Takkan itu pun nak aku bagitau. Aku kot???"

"
2021-04-25 12:22:19",RedRossySmile,"RT @JKJAVMY: Advokasi vaksin COVID-19 bersama @Khairykj
https://t.co/d9umIEf8dW
 
Ketahui lebih lanjut mengenai program imunisasi kebangsaa…"

